,index,file,date,bathym_mean,bathym_q25,bathym_q10,milemarker,segment_id,water_elev,geometry,bathym_fixing,bathym_fixed,depth,year
0,1340,LM_26_HIK_20150315_CS_9488_9532_SORT_w_datum.gpkg,2015-03-15 00:00:00+00:00,240.61865234375,232.31333923339844,209.70001220703125,950.0,17,279.39865290936297,"POLYGON ((-89.12232177744367 36.92470615308487, -89.09466530171026 36.92470615308487, -89.09466530171026 36.986458557136295, -89.12232177744367 36.986458557136295, -89.12232177744367 36.92470615308487))",240.61865234375,240.61865234375,38.780000565612966,2015
1,1341,LM_26_HIK_20150315_CS_9532_9545_SORT_w_datum.gpkg,2015-03-15 00:00:00+00:00,256.9359130859375,251.52313232421875,248.2514419555664,950.0,17,279.39865290936297,"POLYGON ((-89.14396857628627 36.9764675954791, -89.11529376584406 36.9764675954791, -89.11529376584406 36.99415192081853, -89.14396857628627 36.99415192081853, -89.14396857628627 36.9764675954791))",256.9359130859375,256.9359130859375,22.462739823425466,2015
2,1342,LM_26_HIK_20150317_CS_9300_9349_SORT_w_datum.gpkg,2015-03-17 00:00:00+00:00,245.5583648681641,244.15000915527344,237.5959930419922,932.0,19,272.00311495531435,"POLYGON ((-89.16386970246486 36.674994217282645, -89.12228356175618 36.674994217282645, -89.12228356175618 36.74298180287484, -89.16386970246486 36.74298180287484, -89.16386970246486 36.674994217282645))",245.5583648681641,245.5583648681641,26.444750087150254,2015
3,1322,LM_25_MAD_20150320_CS_8800_8860_SORT_w_datum.gpkg,2015-03-20 00:00:00+00:00,222.75714111328125,218.66249084472656,215.409994506836,883.0,24,252.65419354838707,"POLYGON ((-89.57282511283427 36.46496403564379, -89.51405943533517 36.46496403564379, -89.51405943533517 36.54285389157531, -89.57282511283427 36.54285389157531, -89.57282511283427 36.46496403564379))",222.75714111328125,222.75714111328125,29.89705243510582,2015
4,1297,LM_24_CAR_20150323_CS_8560_8641_SORT_w_datum.gpkg,2015-03-23 00:00:00+00:00,201.6312713623047,187.93416595458984,178.2296630859375,860.0,26,243.541033741194,"POLYGON ((-89.62399612176387 36.23785126394101, -89.5356406384886 36.23785126394101, -89.5356406384886 36.32622929127944, -89.62399612176387 36.32622929127944, -89.62399612176387 36.23785126394101))",201.6312713623047,201.6312713623047,41.909762378889326,2015
5,1298,LM_24_CAR_20150324_CS_8399_8490_SORT_w_datum.gpkg,2015-03-24 00:00:00+00:00,206.13211059570312,201.0587615966797,191.606674194336,845.0,27,237.68828142380423,"POLYGON ((-89.68734737736399 36.11855265737611, -89.58031130794379 36.11855265737611, -89.58031130794379 36.22365577158214, -89.68734737736399 36.22365577158214, -89.68734737736399 36.11855265737611))",206.13211059570312,206.13211059570312,31.556170828101102,2015
6,955,LM_15_CVB_20150407_CS_6152_6170_w_datum.gpkg,2015-04-07 00:00:00+00:00,-97.29004669189452,-103.37267303466795,-108.2567138671875,616.0,50,119.6259024057511,"POLYGON ((-90.92033473777303 34.06545005049225, -90.89429826172564 34.06545005049225, -90.89429826172564 34.094321489954176, -90.92033473777303 34.094321489954176, -90.92033473777303 34.06545005049225))",97.29004669189452,97.29004669189452,22.33585571385659,2015
7,956,LM_15_CVB_20150408_CS_6106_6150_w_datum.gpkg,2015-04-08 00:00:00+00:00,-89.61648559570312,-97.99850273132324,-99.87600326538086,613.0,51,118.0921830716054,"POLYGON ((-90.92549414806743 34.019179330367585, -90.8822956853822 34.019179330367585, -90.8822956853822 34.06760645178729, -90.92549414806743 34.06760645178729, -90.92549414806743 34.019179330367585))",89.61648559570312,89.61648559570312,28.47569747590228,2015
8,957,LM_15_CVB_20150409_CS_6082_6104_w_datum.gpkg,2015-04-09 00:00:00+00:00,-90.2553253173828,-93.26099395751952,-96.2099983215332,609.0,51,116.04722395941108,"POLYGON ((-90.9681862471263 34.00642645558135, -90.92761332529984 34.00642645558135, -90.92761332529984 34.03387774454453, -90.9681862471263 34.03387774454453, -90.9681862471263 34.00642645558135))",90.2553253173828,90.2553253173828,25.791898642028286,2015
9,1270,LM_23_OSC_20150409_CS_7871_7877_SORT_w_datum.gpkg,2015-04-09 00:00:00+00:00,,,,787.0,33,205.6284427141268,"POLYGON ((-89.94658557092237 35.70645956024975, -89.92588337237635 35.70645956024975, -89.92588337237635 35.726116539437406, -89.94658557092237 35.726116539437406, -89.94658557092237 35.70645956024975))",,,,2015
10,1251,LM_22_RAN_20150410_CS_7661_7730_SORT_w_datum.gpkg,2015-04-10 00:00:00+00:00,164.804443359375,158.34999084472656,147.9824981689453,769.0,35,194.87103565365024,"POLYGON ((-89.99022650478523 35.50890523725853, -89.88939159254925 35.50890523725853, -89.88939159254925 35.5484311320112, -89.99022650478523 35.5484311320112, -89.99022650478523 35.50890523725853))",164.804443359375,164.804443359375,30.06659229427524,2015
11,1252,LM_22_RAN_20150410_CS_7730_7799_SORT_w_datum.gpkg,2015-04-10 00:00:00+00:00,163.9921875,157.26525497436523,135.5991409301758,776.0,34,198.8593480475382,"POLYGON ((-89.91310188375537 35.54803488119828, -89.86966202733451 35.54803488119828, -89.86966202733451 35.63806219396957, -89.91310188375537 35.63806219396957, -89.91310188375537 35.54803488119828))",163.9921875,163.9921875,34.86716054753819,2015
12,1241,LM_19_MEM_20150412_CS_7440_7506_SORT_w_datum.gpkg,2015-04-12 00:00:00+00:00,162.2628173828125,158.54249572753906,156.37533569335938,747.0,37,182.33633955857383,"POLYGON ((-90.11626409999575 35.25145025622882, -90.08239432430393 35.25145025622882, -90.08239432430393 35.34539597382448, -90.11626409999575 35.34539597382448, -90.11626409999575 35.25145025622882))",162.2628173828125,162.2628173828125,20.073522175761326,2015
13,958,LM_15_CVB_20150413_CS_6056_6080_w_datum.gpkg,2015-04-13 00:00:00+00:00,-76.6546859741211,-84.16200256347656,-89.72456665039063,607.0,51,115.02474440331392,"POLYGON ((-91.00890712308008 34.003640398835934, -90.96879788927221 34.003640398835934, -90.96879788927221 34.02838340672082, -91.00890712308008 34.02838340672082, -91.00890712308008 34.003640398835934))",76.6546859741211,76.6546859741211,38.370058429192824,2015
14,959,LM_15_CVB_20150414_CS_6000_6054_w_datum.gpkg,2015-04-14 00:00:00+00:00,-79.0136947631836,-89.55178260803223,-95.51000213623048,603.0,52,112.97978529111964,"POLYGON ((-91.09440535871089 33.96508635266503, -91.00542020018848 33.96508635266503, -91.00542020018848 34.00951048313578, -91.09440535871089 34.00951048313578, -91.09440535871089 33.96508635266503))",79.0136947631836,79.0136947631836,33.966090527936046,2015
15,908,LM_14_VBO_20150416_CS_5900_5938_w_datum.gpkg,2015-04-16 00:00:00+00:00,-82.07781219482422,-85.18099975585938,-88.26433563232422,592.0,53,107.35614773258531,"POLYGON ((-91.07460534098593 33.86545566355359, -91.02136167829819 33.86545566355359, -91.02136167829819 33.914016981168125, -91.07460534098593 33.914016981168125, -91.07460534098593 33.86545566355359))",82.07781219482422,82.07781219482422,25.278335537761095,2015
16,909,LM_14_VBO_20150420_CS_5858_5898_w_datum.gpkg,2015-04-20 00:00:00+00:00,-75.3216781616211,-88.65242004394531,-98.9238510131836,589.0,53,105.82242839843958,"POLYGON ((-91.07510834964751 33.809441677167314, -91.04179652528335 33.809441677167314, -91.04179652528335 33.88347834400122, -91.07510834964751 33.88347834400122, -91.07510834964751 33.809441677167314))",75.3216781616211,75.3216781616211,30.50075023681849,2015
17,910,LM_14_VBO_20150421_CS_5810_5856_w_datum.gpkg,2015-04-21 00:00:00+00:00,-77.59928894042969,-88.64671516418457,-91.79766845703124,583.0,54,102.93653093601267,"POLYGON ((-91.09650866986179 33.77009247210621, -91.03160738495139 33.77009247210621, -91.03160738495139 33.80930294952743, -91.09650866986179 33.80930294952743, -91.09650866986179 33.77009247210621))",77.59928894042969,77.59928894042969,25.337241995582986,2015
